Tempo;Altura;Velocidade;Forca_Motor;Forca_Tracao;Energia_Motor
1,2773424999323;0;0;-6166350;-6166350;0
1,2843303999398;0;0;-6201400;-6201400;0
1,2943599999417;0;0;-6236450;-6236450;0
1,298303199932;0;0;-6271500;-6271500;0
1,3053276999854;0;0;-6306550;-6306550;0
1,3123231999343;0;0;-6341600;-6341600;0
1,3192911000224;0;0;-6376650;-6376650;0
1,331274199998;0;0;-6411700;-6411700;0
1,3382108999649;0;0;-6446750;-6446750;0
1,3402858999325;0;0;-6481800;-6481800;0
1,3472239000257;0;0;-6516850;-6516850;0
1,3572466999758;0;0;-6551900;-6551900;0
1,3612314999336;0;0;-6586950;-6586950;0
1,3681773999706;0;0;-6622000;-6622000;0
1,3751912999433;0;0;-6657050;-6657050;0
1,3823146999348;0;0;-6692100;-6692100;0
1,3923669999931;0;0;-6727150;-6727150;0
1,3952737000072;0;0;-6762200;-6762200;0
1,4023724000435;0;0;-6797250;-6797250;0
1,4094182000263;0;0;-6832300;-6832300;0
1,4163022999419;0;0;-6867350;-6867350;0
1,4273437999655;0;0;-6902400;-6902400;0
1,4303405999672;0;0;-6937450;-6937450;0
1,4378870000364;0;0;-6972500;-6972500;0
1,443954700022;0;0;-7007550;-7007550;0
1,4509063999867;0;0;-7042600;-7042600;0
1,460910200025;0;0;-7077650;-7077650;0
1,4648790999781;0;0;-7112700;-7112700;0
1,4719173000194;0;0;-7147750;-7147750;0
1,4789156999905;0;0;-7182800;-7182800;0
1,4858356999466;0;0;-7217850;-7217850;0
1,4967991999583;0;0;-7252900;-7252900;0
1,4997564000078;0;0;-7287950;-7287950;0
1,5067346999422;0;0;-7323000;-7323000;0
1,5138084000209;0;0;-7358050;-7358050;0
1,5207244999474;0;0;-7393100;-7393100;0
1,5307843999472;0;0;-7428150;-7428150;0
1,5347251000348;0;0;-7463200;-7463200;0
1,5412654000102;0;0;-7498250;-7498250;0
1,548278799979;0;0;-7533300;-7533300;0
1,5591368000023;0;0;-7568350;-7568350;0
1,5621764999814;0;0;-7603400;-7603400;0
1,5692090999801;0;0;-7638450;-7638450;0
1,5760990999406;0;0;-7673500;-7673500;0
1,5835097000236;0;0;-7708550;-7708550;0
1,5934762000106;0;0;-7743600;-7743600;0
1,5964507999597;0;0;-7778650;-7778650;0
1,603409399977;0;0;-7813700;-7813700;0
1,6103955999715;0;0;-7848750;-7848750;0
1,6183634999907;0;0;-7883800;-7883800;0
1,6289610000094;0;0;-7918850;-7918850;0
1,631914800033;0;0;-7953900;-7953900;0
1,6390717999311;0;0;-7988950;-7988950;0
1,6459351000376;0;0;-8024000;-8024000;0
1,6519988999935;0;0;-8059050;-8059050;0
1,6630537000019;0;0;-8094100;-8094100;0
1,6660626999801;0;0;-8129150;-8129150;0
1,6735981999664;0;0;-8164200;-8164200;0
1,680274699931;0;0;-8199250;-8199250;0
1,6873765999917;0;0;-8234300;-8234300;0
1,6983684999868;0;0;-8269350;-8269350;0
1,7013412000379;0;0;-8304400;-8304400;0
1,7083497999702;0;0;-8339450;-8339450;0
1,7152865999378;0;0;-8374500;-8374500;0
1,7261615999741;0;0;-8409550;-8409550;0
1,7293294999981;0;0;-8444600;-8444600;0
1,7361278999597;0;0;-8479650;-8479650;0
1,7433084000368;0;0;-8514700;-8514700;0
1,7492388000246;0;0;-8549750;-8549750;0
1,7613193000434;0;0;-8584800;-8584800;0
1,7643112000078;0;0;-8619850;-8619850;0
1,7703330999939;0;0;-8654900;-8654900;0
1,7773130999412;0;0;-8689950;-8689950;0
1,7841509999707;0;0;-8725000;-8725000;0
1,7952102000127;0;0;-8760050;-8760050;0
1,7981982999481;0;0;-8795100;-8795100;0
1,8055307000177;0;0;-8830150;-8830150;0
1,8126430000411;0;0;-8865200;-8865200;0
1,8190227999585;0;0;-8900250;-8900250;0
1,8303605000256;0;0;-8935300;-8935300;0
1,8333265000256;0;0;-8970350;-8970350;0
1,8404171000002;0;0;-9005400;-9005400;0
1,8473203999456;0;0;-9040450;-9040450;0
1,8582721999846;0;0;-9075500;-9075500;0
1,860324600013;0;0;-9110550;-9110550;0
1,8683056000154;0;0;-9145600;-9145600;0
1,8751017999602;0;0;-9180650;-9180650;0
1,8821493999567;0;0;-9215700;-9215700;0
1,8921244000085;0;0;-9250750;-9250750;0
1,8951996000251;0;0;-9285800;-9285800;0
1,9021782999625;0;0;-9320850;-9320850;0
1,9091913999291;0;0;-9355900;-9355900;0
1,9160550000379;0;0;-9390950;-9390950;0
1,9270352999447;0;0;-9426000;-9426000;0
1,9300534999929;0;0;-9461050;-9461050;0
1,9369760999689;0;0;-9496100;-9496100;0
1,9444982999703;0;0;-9531150;-9531150;0
1,9512434999924;0;0;-9566200;-9566200;0
1,962228099932;0;0;-9601250;-9601250;0
1,9651934000431;0;0;-9636300;-9636300;0
1,9723228999646;0;0;-9671350;-9671350;0
1,9782497000415;0;0;-9706400;-9706400;0
1,9862868000055;0;0;-9741450;-9741450;0
1,9972808000166;0;0;-9776500;-9776500;0
1,9992874999298;0;0;-9811550;-9811550;0
2,0062847000081;0;0;-9846600;-9846600;0
2,0133901999798;0;0;-9881650;-9881650;0
2,0208257000195;0;0;-9916700;-9916700;0
2,0317724000197;0;0;-9951750;-9951750;0
2,0348950999323;0;0;-9986800;-9986800;0
2,0407486000331;0;0;-10021850;-10021850;0
2,0483036999358;0;0;-10056900;-10056900;0
2,059317599982;0;0;-10091950;-10091950;0
2,0622771999333;0;0;-10127000;-10127000;0
2,0688668999355;0;0;-10162050;-10162050;0
2,0757781999419;0;0;-10197100;-10197100;0
2,0828980000224;0;0;-10232150;-10232150;0
2,093173500034;0;0;-10267200;-10267200;0
2,0971582999919;0;0;-10302250;-10302250;0
2,1042902999325;0;0;-10337300;-10337300;0
2,1112964999629;0;0;-10372350;-10372350;0
2,1181747999508;0;0;-10407400;-10407400;0
2,1282985999715;0;0;-10442450;-10442450;0
2,1313633000245;0;0;-10477500;-10477500;0
2,1382604000391;0;0;-10512550;-10512550;0
2,1452139000176;0;0;-10547600;-10547600;0
2,1522392999614;0;0;-10582650;-10582650;0
2,1633171000285;0;0;-10617700;-10617700;0
2,1681520999409;0;0;-10652750;-10652750;0
2,1735043999506;0;0;-10687800;-10687800;0
2,1817207999993;0;0;-10722850;-10722850;0
2,1872506999644;0;0;-10757900;-10757900;0
2,1984014000045;0;0;-10792950;-10792950;0
2,201623299974;0;0;-10828000;-10828000;0
2,2084174000192;0;0;-10863050;-10863050;0
2,2153066999745;0;0;-10898100;-10898100;0
2,2254946000176;0;0;-10933150;-10933150;0
2,2291117999703;0;0;-10968200;-10968200;0
2,2361359000206;0;0;-11003250;-11003250;0
2,2431973000057;0;0;-11038300;-11038300;0
2,2501260000281;0;0;-11073350;-11073350;0
2,2601460999576;0;0;-11108400;-11108400;0
2,2645520999795;0;0;-11143450;-11143450;0
2,2711829999462;0;0;-11178500;-11178500;0
2,27716529998;0;0;-11213550;-11213550;0
2,2850037999451;0;0;-11248600;-11248600;0
2,2949612999801;0;0;-11283650;-11283650;0
2,2994806999341;0;0;-11318700;-11318700;0
2,3052083000075;0;0;-11353750;-11353750;0
2,3132688000333;0;0;-11388800;-11388800;0
2,3196785999462;0;0;-11423850;-11423850;0
2,3297705999576;0;0;-11458900;-11458900;0
2,3338711999822;0;0;-11493950;-11493950;0
2,3413652000017;0;0;-11529000;-11529000;0
2,3478815000271;0;0;-11564050;-11564050;0
2,3536260999972;0;0;-11599100;-11599100;0
2,3637145999819;0;0;-11634150;-11634150;0
2,3689840999432;0;0;-11669200;-11669200;0
2,375576499966;0;0;-11704250;-11704250;0
2,3816944999853;0;0;-11739300;-11739300;0
2,3929964000126;0;0;-11774350;-11774350;0
2,395932000014;0;0;-11809400;-11809400;0
2,4030874000164;0;0;-11844450;-11844450;0
2,4090627999976;0;0;-11879500;-11879500;0
2,4159304000204;0;0;-11914550;-11914550;0
2,4270206999499;0;0;-11949600;-11949600;0
2,4299017000012;0;0;-11984650;-11984650;0
2,4373258999549;0;0;-12019700;-12019700;0
2,4442868999904;0;0;-12054750;-12054750;0
2,4512583999895;0;0;-12089800;-12089800;0
2,4612135000061;0;0;-12124850;-12124850;0
2,465174300014;0;0;-12159900;-12159900;0
2,4722155999625;0;0;-12194950;-12194950;0
2,4793220999418;0;0;-12230000;-12230000;0
2,4862339999527;0;0;-12265050;-12265050;0
2,4973608000437;0;0;-12300100;-12300100;0
2,5011910999892;0;0;-12335150;-12335150;0
2,5074956000317;0;0;-12370200;-12370200;0
2,513290300034;0;0;-12405250;-12405250;0
2,5258983999956;0;0;-12440300;-12440300;0
2,5285221999511;0;0;-12475350;-12475350;0
2,5347372000106;0;0;-12510400;-12510400;0
2,5416942000156;0;0;-12545450;-12545450;0
2,556199899991;0;0;-12580500;-12580500;0
2,5604821000015;0;0;-12615550;-12615550;0
2,5627967999317;0;0;-12650600;-12650600;0
2,5696366999764;0;0;-12685650;-12685650;0
2,5757786999457;0;0;-12720700;-12720700;0
2,5918112000218;0;0;-12755750;-12755750;0
2,595890800003;0;0;-12790800;-12790800;0
2,5973728999961;0;0;-12825850;-12825850;0
2,6053788999561;0;0;-12860900;-12860900;0
2,6264390000142;0;0;-12895950;-12895950;0
2,6287540999474;0;0;-12931000;-12931000;0
2,6303239000263;0;0;-12966050;-12966050;0
2,6382488999516;0;0;-13001100;-13001100;0
2,6611939999275;0;0;-13036150;-13036150;0
2,6632843000116;0;0;-13071200;-13071200;0
2,6652313999366;0;0;-13106250;-13106250;0
2,6672286000103;0;0;-13141300;-13141300;0
2,673208000022;0;0;-13176350;-13176350;0
2,6801720999647;0;0;-13211400;-13211400;0
2,6871623999905;0;0;-13246450;-13246450;0
2,6986563999671;0;0;-13281500;-13281500;0
2,7016535999719;0;0;-13316550;-13316550;0
2,7086382999551;0;0;-13351600;-13351600;0
2,7156418999657;0;0;-13386650;-13386650;0
2,7269530999474;0;0;-13421700;-13421700;0
2,7315620000008;0;0;-13456750;-13456750;0
2,7355426999275;0;0;-13491800;-13491800;0
2,7436884000199;0;0;-13526850;-13526850;0
2,7580891000107;0;0;-13561900;-13561900;0
2,7624431999866;0;0;-13596950;-13596950;0
2,7645408000099;0;0;-13632000;-13632000;0
2,7713747000089;0;0;-13667050;-13667050;0
2,7777327999938;0;0;-13702100;-13702100;0
2,7919832000043;0;0;-13737150;-13737150;0
2,7942449999973;0;0;-13772200;-13772200;0
2,7986150999786;0;0;-13807250;-13807250;0
2,8052882000338;0;0;-13842300;-13842300;0
2,8122901000315;0;0;-13877350;-13877350;0
2,819706600043;0;0;-13912400;-13912400;0
2,8296432000352;0;0;-13947450;-13947450;0
2,8326474999776;0;0;-13982500;-13982500;0
2,8396931999596;0;0;-14017550;-14017550;0
